GVT,À’E-2W605,2015-05-19 21:49:25
GRD,À’E-2W605,2015-05-19 21:56:24
HBW,À’E-2W605,2015-05-19 21:58:51
CMP,À’E-2W605,2015-05-19 21:59:47
MNA,À’E-2W605,2015-05-19 22:08:35
BZJ,À’E-2W605,2015-05-19 22:09:59
MDE,À’E-2W605,2015-05-19 22:15:49
BZN,À’E-2W157,2015-05-20 09:51:04
MNA,À’E-2W605,2015-05-20 11:01:58
BZJ,À’E-2W605,2015-05-20 11:03:55
MDG,À’E-2W605,2015-05-20 11:09:51
ABH,À’E-2W679,2015-05-20 13:49:57
EUD,À’E-2W605,2015-05-20 14:04:12
ABH,À’E-2W605,2015-05-20 14:10:48 
HUB,À’E-2W605,2015-05-20 14:14:28
GMB,À’E-2W605,2015-05-20 14:15:50
AMJ,À’E-2W605,2015-05-20 14:21:49
HDC,À’E-2W605,2015-05-20 14:22:36
PPZ,À’E-2W605,2015-05-20 14:23:58
PPT,À’E-2W605,2015-05-20 14:32:43
GVT,À’E-2W605,2015-05-20 14:38:57
MNA,À’E-2W679,2015-05-20 14:41:56
BZJ,À’E-2W679,2015-05-20 14:43:12
GRD,À’E-2W605,2015-05-20 14:45:47
HBW,À’E-2W605,2015-05-20 14:47:53
AKS,À’E-2W679,2015-05-20 14:48:23
CMP,À’E-2W605,2015-05-20 14:48:55
MNA,À’E-2W605,2015-05-20 14:59:07
BZJ,À’E-2W605,2015-05-20 15:00:53
AKS,À’E-2W605,2015-05-20 15:05:13
MDD,À’E-2W605,2015-05-20 15:05:52
MDG,À’E-2W605,2015-05-20 15:06:33
MDE,À’E-2W605,2015-05-20 15:07:52
HTZ,À’E-2W699,2015-05-20 15:52:43
BWU,À’E-2W699,2015-05-20 15:51:08
HTZ,À’E-2W699,2015-05-20 15:53:14
BZN,À’E-2W699,2015-05-20 15:55:45
ABH,À’E-2W699,2015-05-20 15:56:57
FVN,À’E-2W695,2015-05-20 15:59:11
MUY,À’E-2W699,2015-05-20 16:00:14
HUB,À’E-2W699,2015-05-20 16:01:09
BEV,À’E-2W695,2015-05-20 16:02:08
GMB,À’E-2W699,2015-05-20 16:02:24
EAS,À’E-2W695,2015-05-20 16:03:22
AMJ,À’E-2W699,2015-05-20 16:06:56
HDC,À’E-2W699,2015-05-20 16:07:41
PPZ,À’E-2W699,2015-05-20 16:09:27
RBD,À’E-2W699,2015-05-20 16:15:20
PPT,À’E-2W699,2015-05-20 16:20:29
HFT,À’E-2W699,2015-05-20 16:22:07
CFD,À’E-2W699,2015-05-20 16:25:02
GVT,À’E-2W699,2015-05-20 16:27:04
HGH,À’E-2W699,2015-05-20 16:31:35
GRD,À’E-2W699,2015-05-20 16:33:14
